ROSN;SBER;X5;YDEX;GMKN;GAZP
461.1;309.2;2926.5;4282.5;123.2;134.91
451.8;308.44;2911.5;4288;123.36;132.18
447.95;309.49;2915.5;4290;124.88;132.18
449.55;308.74;2895;4299.5;124.7;130.8
459.4;310.5;2911.5;4341;126;131.87
457.65;310.13;2911;4354;126.14;131.92
457.1;310.69;2917;4356;126.6;132.3
458;312.83;2957;4405;129.18;133.48
467.7;313.06;2950.5;4375;130.2;133.52
461.65;309.76;2927.5;4323.5;129.66;130.73
464.55;307.11;2922.5;4297;129.44;130.02
448.4;303.5;2898.5;4200;124.04;125.44
445.1;302.84;2898;4202;123.42;125
449.65;303.97;2905;4210;124.6;126.19
440.8;302.48;2894;4150;123.56;124.07
436.85;301.8;2886.5;4127.5;124.12;122.58
441;304.5;2924;4161;126.3;125
435.55;301.68;2930;4108.5;122.88;122.77
428.9;294.84;2906.5;4080;119.28;120.44
431.45;298.05;2911;4121.5;121.8;119.5
421.9;291.6;2878.5;4052;119.34;117.11
427.7;293.31;2867;4131;123.7;118.9
422.2;289.9;2806;4084;120.56;117.66
424.25;291.33;2824;4097;122.78;120.15
424.7;291.69;2831.5;3940;123.56;120.11
424.85;291.08;2823.5;3926.5;122.9;119.8
416.9;287.57;2772;3845;125.96;117.05
411.4;288.36;2849.5;3757;123.88;118.19
406.8;286.4;2815;3764;121.1;116.43
408;285.22;2765;3716;121.4;116.07
404.4;282.91;2645;3745;120.08;115.09
401.5;280.4;2619;3902.5;118.66;114.14
403.05;281.99;2621.5;3918;120.14;114.98
411.65;290.56;2596;3798;124.02;119.17
411.95;293.89;2584;3932.5;125.96;118.74
403.85;281.9;2479;3806.5;121.86;114.22
417.6;289.37;2521;3825;128.68;116.83
406.5;285.12;2417;3828;125.64;115.18
407.35;285.16;2433;3822.5;126.24;115.71
407.85;286.81;2445.5;3788.5;126.6;116.11
402.8;285.39;2418.5;3792;129.04;115.84
401.35;283.3;2376.5;4065;126.56;115.27
400.85;283.74;2422;4117;125.22;115.13
423.75;302.91;2640;4185;134.34;124.36
418;300.91;2661;4169.5;131.52;124.74
423.3;304.18;2714;4155;133.24;126.39
421.95;303.03;2697.5;3996;132.88;125.7
421;304;2656;3905;133.54;126.02
411.95;295.47;2599.5;3914;128;120.9
401.95;290.02;2542;3841.5;127.3;119.14
389.85;291.8;2592;3800;127.36;117.8
389.8;287.55;2562.5;3887.5;126.18;116.94
370.15;283.17;2480;3972;118.5;115.16
376.5;289.46;2508.5;4055.5;122.6;116.43
377.95;290.5;2504.5;3978.5;125.3;116.37
387.5;296.12;2532;4008;126.7;117.25
382.45;291.89;2492;4077;123.94;116.11
384.8;293.7;2502;4067;125.12;116.2
394.2;298.04;2533;4043;127;117.52
389.4;295.7;2559.5;4064;125.02;116.46
389.95;294.27;2602.5;4085;124.74;117.12
394.85;296.84;2665;4097;126.52;120.45
395.25;297.93;2677;4072.5;126.34;120.6
396.25;297.97;2679;4049;126.98;121.06
389.45;300.46;2680;3995;126.56;119.34
390.15;301.12;2720;3965;126.82;121.53
383.9;299.09;2699;3953;124.7;119.14
383.15;299.09;2753.5;3955;125.38;119.28
382.2;297.44;2702.5;3955.5;123.9;118.16
382.2;297.17;2714;3883;123.84;118.16
381.65;297;2718;3925;123.48;118
379.8;294.68;2663.5;4092;123.02;118.14
387.25;299.44;2676.5;4172;127;121.06
402.6;304.75;2707.5;4157;129.8;124
412.95;307.89;2724.5;4103;133.38;128.11
407.95;306.7;2711;4154;132.62;127.06
409.55;305.87;2694;4145;129.8;126
410.2;306.6;2704.5;4105.5;132.34;127.6
407.4;304.96;2695;4185.5;131.36;126.6
400.7;299.53;2694;4182;127.86;124.06
405;304.17;2707.5;4202;130.96;127.7
404.95;303.88;2708;4192.5;130.76;127.43
407.35;305.23;2714;4220.5;131.48;128.5
406.3;305.2;2712;4170.5;131.1;127.8
404.25;303.77;2706.5;4202;130.96;127.02
399.8;302.85;2699.5;4288;129.96;125.01
400;301.76;2725;4303;128.94;125.32
410;307.22;2773.5;4346;134.02;128.67
403;304.95;2809.5;4317;133.02;127.12
